Curriculum learning enabled: 20000 steps per level (easy->medium->transit->normal)
Using cpu device
---------------------------------
| curriculum/        |          |
|    policy_gradient_loss | -0.00788    |
|    value_loss           | 0.0415      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 1           |
| rollout/                |             |
|    ep_len_mean          | 4.85        |
|    ep_rew_mean          | 4.85        |
| time/                   |             |
|    fps                  | 79          |
|    iterations           | 8           |
|    time_elapsed         | 412         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.010047321 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.751      |
|    explained_variance   | 0.974       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.000559    |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0117     |
|    value_loss           | 0.0463      |
-----------------------------------------
----------------------------------------
| curriculum/             |            |
|    level                | 1          |
| rollout/                |            |
|    ep_len_mean          | 4.91       |
|    ep_rew_mean          | 4.91       |
| time/                   |            |
|    fps                  | 78         |
|    iterations           | 9          |
|    time_elapsed         | 470        |
|    total_timesteps      | 36864      |
| train/                  |            |
|    approx_kl            | 0.01118679 |
|    clip_fraction        | 0.105      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.728     |
|    explained_variance   | 0.976      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0155    |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.0124    |
|    value_loss           | 0.0433     |
----------------------------------------

[Curriculum] Advancing to TRANSIT (level 2) at 40000 steps
Eval num_timesteps=40000, episode_reward=2.67 +/- 3.30
Episode length: 4.33 +/- 0.94
-----------------------------------------
| curriculum/             |             |
|    level                | 1           |
|    level_transition     | 2           |
| eval/                   |             |
|    mean_ep_length       | 4.33        |
|    mean_reward          | 2.67        |
| time/                   |             |
|    total_timesteps      | 40000       |
| train/                  |             |
|    approx_kl            | 0.009657316 |
|    clip_fraction        | 0.0884      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.718      |
|    explained_variance   | 0.964       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00312    |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00825    |
|    value_loss           | 0.0522      |
-----------------------------------------
New best mean reward!
---------------------------------
| curriculum/        |          |
|    level           | 2        |
| rollout/           |          |
|    ep_len_mean     | 4.91     |
|    ep_rew_mean     | 4.91     |
| time/              |          |
|    fps             | 77       |
|    iterations      | 10       |
|    time_elapsed    | 529      |
|    total_timesteps | 40960    |
---------------------------------
----------------------------------------
| curriculum/             |            |
|    level                | 2          |
| rollout/                |            |
|    ep_len_mean          | 4.92       |
|    ep_rew_mean          | 4.92       |
| time/                   |            |
|    fps                  | 76         |
|    iterations           | 11         |
|    time_elapsed         | 589        |
|    total_timesteps      | 45056      |
| train/                  |            |
|    approx_kl            | 0.00940796 |
|    clip_fraction        | 0.0827     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.713     |
|    explained_variance   | 0.979      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0163    |
|    n_updates            | 200        |
|    policy_gradient_loss | -0.00474   |
|    value_loss           | 0.0372     |
----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 2           |
| rollout/                |             |
|    ep_len_mean          | 4.95        |
|    ep_rew_mean          | 4.95        |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 12          |
|    time_elapsed         | 647         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.015828077 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.701      |
|    explained_variance   | 0.976       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00853    |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.00992    |
|    value_loss           | 0.0395      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 2           |
| rollout/                |             |
|    ep_len_mean          | 4.85        |
|    ep_rew_mean          | 4.85        |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 13          |
|    time_elapsed         | 705         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.008895922 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.709      |
|    explained_variance   | 0.983       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00567    |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0061     |
|    value_loss           | 0.031       |
-----------------------------------------
------------------------------------------
| curriculum/             |              |
|    level                | 2            |
| rollout/                |              |
|    ep_len_mean          | 4.86         |
|    ep_rew_mean          | 4.86         |
| time/                   |              |
|    fps                  | 74           |
|    iterations           | 14           |
|    time_elapsed         | 765          |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0114824595 |
|    clip_fraction        | 0.11         |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.706       |
|    explained_variance   | 0.981        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.000144     |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.00856     |
|    value_loss           | 0.0325       |
------------------------------------------

[Curriculum] Advancing to NORMAL (level 3) at 60000 steps
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
|    level_transition     | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.91        |
|    ep_rew_mean          | 4.91        |
| time/                   |             |
|    fps                  | 74          |
|    iterations           | 15          |
|    time_elapsed         | 824         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.010219299 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.712      |
|    explained_variance   | 0.983       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0115     |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.00803    |
|    value_loss           | 0.0292      |
-----------------------------------------
------------------------------------------
| curriculum/             |              |
|    level                | 3            |
| rollout/                |              |
|    ep_len_mean          | 4.95         |
|    ep_rew_mean          | 4.95         |
| time/                   |              |
|    fps                  | 74           |
|    iterations           | 16           |
|    time_elapsed         | 884          |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0126022175 |
|    clip_fraction        | 0.143        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.702       |
|    explained_variance   | 0.982        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0157      |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.00802     |
|    value_loss           | 0.0303       |
------------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.92        |
|    ep_rew_mean          | 4.92        |
| time/                   |             |
|    fps                  | 73          |
|    iterations           | 17          |
|    time_elapsed         | 942         |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.011750147 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.725      |
|    explained_variance   | 0.984       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0147     |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.00707    |
|    value_loss           | 0.0279      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.83        |
|    ep_rew_mean          | 4.83        |
| time/                   |             |
|    fps                  | 73          |
|    iterations           | 18          |
|    time_elapsed         | 997         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.009572884 |
|    clip_fraction        | 0.0914      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.728      |
|    explained_variance   | 0.984       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0162     |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.00695    |
|    value_loss           | 0.0257      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.89        |
|    ep_rew_mean          | 4.89        |
| time/                   |             |
|    fps                  | 74          |
|    iterations           | 19          |
|    time_elapsed         | 1047        |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.010209493 |
|    clip_fraction        | 0.0922      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.722      |
|    explained_variance   | 0.987       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0204     |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.00596    |
|    value_loss           | 0.0209      |
-----------------------------------------
Eval num_timesteps=80000, episode_reward=2.67 +/- 3.30
Episode length: 4.33 +/- 0.94
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| eval/                   |             |
|    mean_ep_length       | 4.33        |
|    mean_reward          | 2.67        |
| time/                   |             |
|    total_timesteps      | 80000       |
| train/                  |             |
|    approx_kl            | 0.028990868 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.746      |
|    explained_variance   | 0.983       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0215     |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0121     |
|    value_loss           | 0.0221      |
-----------------------------------------
---------------------------------
| curriculum/        |          |
|    level           | 3        |
| rollout/           |          |
|    ep_len_mean     | 4.88     |
|    ep_rew_mean     | 4.88     |
| time/              |          |
|    fps             | 74       |
|    iterations      | 20       |
|    time_elapsed    | 1097     |
|    total_timesteps | 81920    |
---------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.88        |
|    ep_rew_mean          | 4.88        |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 21          |
|    time_elapsed         | 1146        |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.011256436 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.76       |
|    explained_variance   | 0.984       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00807    |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.013      |
|    value_loss           | 0.0271      |
-----------------------------------------
----------------------------------------
| curriculum/             |            |
|    level                | 3          |
| rollout/                |            |
|    ep_len_mean          | 4.95       |
|    ep_rew_mean          | 4.95       |
| time/                   |            |
|    fps                  | 75         |
|    iterations           | 22         |
|    time_elapsed         | 1195       |
|    total_timesteps      | 90112      |
| train/                  |            |
|    approx_kl            | 0.01605691 |
|    clip_fraction        | 0.127      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.738     |
|    explained_variance   | 0.986      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0296    |
|    n_updates            | 420        |
|    policy_gradient_loss | -0.0113    |
|    value_loss           | 0.0234     |
----------------------------------------
----------------------------------------
| curriculum/             |            |
|    level                | 3          |
| rollout/                |            |
|    ep_len_mean          | 4.88       |
|    ep_rew_mean          | 4.88       |
| time/                   |            |
|    fps                  | 75         |
|    iterations           | 23         |
|    time_elapsed         | 1245       |
|    total_timesteps      | 94208      |
| train/                  |            |
|    approx_kl            | 0.01220656 |
|    clip_fraction        | 0.135      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.727     |
|    explained_variance   | 0.991      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0234    |
|    n_updates            | 440        |
|    policy_gradient_loss | -0.00903   |
|    value_loss           | 0.0139     |
----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.84        |
|    ep_rew_mean          | 4.84        |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 24          |
|    time_elapsed         | 1294        |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.012525402 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.714      |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.022      |
|    n_updates            | 460         |
|    policy_gradient_loss | -0.00929    |
|    value_loss           | 0.0163      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.82        |
|    ep_rew_mean          | 4.82        |
| time/                   |             |
|    fps                  | 76          |
|    iterations           | 25          |
|    time_elapsed         | 1343        |
|    total_timesteps      | 102400      |
| train/                  |             |
|    approx_kl            | 0.008767476 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.694      |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00893    |
|    n_updates            | 480         |
|    policy_gradient_loss | -0.00915    |
|    value_loss           | 0.0157      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.87        |
|    ep_rew_mean          | 4.87        |
| time/                   |             |
|    fps                  | 76          |
|    iterations           | 26          |
|    time_elapsed         | 1392        |
|    total_timesteps      | 106496      |
| train/                  |             |
|    approx_kl            | 0.011130044 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.704      |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.028      |
|    n_updates            | 500         |
|    policy_gradient_loss | -0.00868    |
|    value_loss           | 0.0118      |
-----------------------------------------
----------------------------------------
| curriculum/             |            |
|    level                | 3          |
| rollout/                |            |
|    ep_len_mean          | 4.91       |
|    ep_rew_mean          | 4.91       |
| time/                   |            |
|    fps                  | 76         |
|    iterations           | 27         |
|    time_elapsed         | 1442       |
|    total_timesteps      | 110592     |
| train/                  |            |
|    approx_kl            | 0.02281785 |
|    clip_fraction        | 0.195      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.725     |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0278    |
|    n_updates            | 520        |
|    policy_gradient_loss | -0.0146    |
|    value_loss           | 0.0172     |
----------------------------------------
----------------------------------------
| curriculum/             |            |
|    level                | 3          |
| rollout/                |            |
|    ep_len_mean          | 4.89       |
|    ep_rew_mean          | 4.89       |
| time/                   |            |
|    fps                  | 76         |
|    iterations           | 28         |
|    time_elapsed         | 1495       |
|    total_timesteps      | 114688     |
| train/                  |            |
|    approx_kl            | 0.01881836 |
|    clip_fraction        | 0.156      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.753     |
|    explained_variance   | 0.988      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0375    |
|    n_updates            | 540        |
|    policy_gradient_loss | -0.0174    |
|    value_loss           | 0.0198     |
----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.92        |
|    ep_rew_mean          | 4.92        |
| time/                   |             |
|    fps                  | 76          |
|    iterations           | 29          |
|    time_elapsed         | 1553        |
|    total_timesteps      | 118784      |
| train/                  |             |
|    approx_kl            | 0.017690599 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.737      |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0215     |
|    n_updates            | 560         |
|    policy_gradient_loss | -0.016      |
|    value_loss           | 0.0188      |
-----------------------------------------
Eval num_timesteps=120000, episode_reward=0.33 +/- 3.30
Episode length: 4.00 +/- 0.82
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| eval/                   |             |
|    mean_ep_length       | 4           |
|    mean_reward          | 0.333       |
| time/                   |             |
|    total_timesteps      | 120000      |
| train/                  |             |
|    approx_kl            | 0.013927568 |
|    clip_fraction        | 0.137       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.745      |
|    explained_variance   | 0.993       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.027      |
|    n_updates            | 580         |
|    policy_gradient_loss | -0.0112     |
|    value_loss           | 0.00988     |
-----------------------------------------
---------------------------------
| curriculum/        |          |
|    level           | 3        |
| rollout/           |          |
|    ep_len_mean     | 4.93     |
|    ep_rew_mean     | 4.93     |
| time/              |          |
|    fps             | 76       |
|    iterations      | 30       |
|    time_elapsed    | 1613     |
|    total_timesteps | 122880   |
---------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.85        |
|    ep_rew_mean          | 4.85        |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 31          |
|    time_elapsed         | 1673        |
|    total_timesteps      | 126976      |
| train/                  |             |
|    approx_kl            | 0.017939422 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.733      |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0117      |
|    n_updates            | 600         |
|    policy_gradient_loss | -0.0118     |
|    value_loss           | 0.0141      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.85        |
|    ep_rew_mean          | 4.85        |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 32          |
|    time_elapsed         | 1732        |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.011544716 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.732      |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.032      |
|    n_updates            | 620         |
|    policy_gradient_loss | -0.01       |
|    value_loss           | 0.00997     |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.87        |
|    ep_rew_mean          | 4.87        |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 33          |
|    time_elapsed         | 1791        |
|    total_timesteps      | 135168      |
| train/                  |             |
|    approx_kl            | 0.011455834 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.73       |
|    explained_variance   | 0.986       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0355     |
|    n_updates            | 640         |
|    policy_gradient_loss | -0.0127     |
|    value_loss           | 0.0159      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.91        |
|    ep_rew_mean          | 4.91        |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 34          |
|    time_elapsed         | 1851        |
|    total_timesteps      | 139264      |
| train/                  |             |
|    approx_kl            | 0.018155558 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.743      |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0263     |
|    n_updates            | 660         |
|    policy_gradient_loss | -0.0136     |
|    value_loss           | 0.00895     |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.87        |
|    ep_rew_mean          | 4.87        |
| time/                   |             |
|    fps                  | 74          |
|    iterations           | 35          |
|    time_elapsed         | 1911        |
|    total_timesteps      | 143360      |
| train/                  |             |
|    approx_kl            | 0.013862757 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.745      |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0292     |
|    n_updates            | 680         |
|    policy_gradient_loss | -0.0123     |
|    value_loss           | 0.0131      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.93        |
|    ep_rew_mean          | 4.93        |
| time/                   |             |
|    fps                  | 74          |
|    iterations           | 36          |
|    time_elapsed         | 1969        |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.016956199 |
|    clip_fraction        | 0.197       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.736      |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0319     |
|    n_updates            | 700         |
|    policy_gradient_loss | -0.0173     |
|    value_loss           | 0.0145      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.85        |
|    ep_rew_mean          | 4.85        |
| time/                   |             |
|    fps                  | 74          |
|    iterations           | 37          |
|    time_elapsed         | 2027        |
|    total_timesteps      | 151552      |
| train/                  |             |
|    approx_kl            | 0.013403453 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.723      |
|    explained_variance   | 0.993       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0269     |
|    n_updates            | 720         |
|    policy_gradient_loss | -0.0148     |
|    value_loss           | 0.0106      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.87        |
|    ep_rew_mean          | 4.87        |
| time/                   |             |
|    fps                  | 74          |
|    iterations           | 38          |
|    time_elapsed         | 2087        |
|    total_timesteps      | 155648      |
| train/                  |             |
|    approx_kl            | 0.017507896 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.731      |
|    explained_variance   | 0.996       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0411     |
|    n_updates            | 740         |
|    policy_gradient_loss | -0.0127     |
|    value_loss           | 0.00614     |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.83        |
|    ep_rew_mean          | 4.83        |
| time/                   |             |
|    fps                  | 74          |
|    iterations           | 39          |
|    time_elapsed         | 2147        |
|    total_timesteps      | 159744      |
| train/                  |             |
|    approx_kl            | 0.014013065 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.747      |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0389     |
|    n_updates            | 760         |
|    policy_gradient_loss | -0.0111     |
|    value_loss           | 0.0103      |
-----------------------------------------
Eval num_timesteps=160000, episode_reward=2.00 +/- 3.56
Episode length: 3.67 +/- 1.25
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| eval/                   |             |
|    mean_ep_length       | 3.67        |
|    mean_reward          | 2           |
| time/                   |             |
|    total_timesteps      | 160000      |
| train/                  |             |
|    approx_kl            | 0.015112638 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.763      |
|    explained_variance   | 0.987       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0195     |
|    n_updates            | 780         |
|    policy_gradient_loss | -0.0185     |
|    value_loss           | 0.021       |
-----------------------------------------
---------------------------------
| curriculum/        |          |
|    level           | 3        |
| rollout/           |          |
|    ep_len_mean     | 4.89     |
|    ep_rew_mean     | 4.89     |
| time/              |          |
|    fps             | 74       |
|    iterations      | 40       |
|    time_elapsed    | 2207     |
|    total_timesteps | 163840   |
---------------------------------
----------------------------------------
| curriculum/             |            |
|    level                | 3          |
| rollout/                |            |
|    ep_len_mean          | 4.87       |
|    ep_rew_mean          | 4.87       |
| time/                   |            |
|    fps                  | 74         |
|    iterations           | 41         |
|    time_elapsed         | 2267       |
|    total_timesteps      | 167936     |
| train/                  |            |
|    approx_kl            | 0.02180871 |
|    clip_fraction        | 0.146      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.75      |
|    explained_variance   | 0.992      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0423    |
|    n_updates            | 800        |
|    policy_gradient_loss | -0.0167    |
|    value_loss           | 0.0124     |
----------------------------------------
----------------------------------------
| curriculum/             |            |
|    level                | 3          |
| rollout/                |            |
|    ep_len_mean          | 4.86       |
|    ep_rew_mean          | 4.86       |
| time/                   |            |
|    fps                  | 73         |
